    PID   PPID    UID CPU    TASK    ST     VSZ    RSS COMM
   2013      1      0   0  d1977aa0  IN    1624    464 mingetty
   2014      1      0   0  c13fb550  IN    1628    468 mingetty
   2015      1      0   0  d19bc000  IN    1624    468 mingetty
   2016      1      0   0  d1993000  IN   15324   3620 gdm-binary
   2095   2016      0   0  d1970550  IN   15640   2764 gdm-binary
   2105   2095      0   0  d09deaa0  IN   49244  24536 Xorg
   2152   2095    501   0  d0876550  IN   22380   6872 gnome-session
   2208   2152    501   0  d1404550  IN    4300    496 ssh-agent
   2211      1    501   0  d0876aa0  IN    2704    940 dbus-daemon
   2212      1    501   0  d1417000  IN    2744    632 dbus-launch
   2218      1    501   0  d1aaf000  IN    6756   3184 gconfd-2
   2221      1    501   0  d1404000  IN    2536    740 gnome-keyring-d
   2223      1    501   0  d1970aa0  IN   33332   8020 gnome-settings-
   2233   2223    501   0  d19bc550  DE      -1     -1 xrdb
   2235      1    501   0  d1aa0aa0  IN   17676   8908 metacity
   2242      1    501   0  d0e04000  IN   47472  12624 gnome-panel
   2244      1    501   0  d0e04aa0  IN   85192  15756 nautilus
   2248      1    501   0  d0e4b000  IN   38388   2808 bonobo-activati
   2251      1    501   0  d0bbe550  IN   10968   3396 gnome-vfs-daemo
   2255      1    501   0  d0bbe000  IN   44228   8088 eggcups
   2256      1    501   0  d0d1d000  IN   22120   4676 gnome-volume-ma
   2262      1    501   0  d09d3000  IN   14092   4928 bt-applet
   2266      1    501   0  d1417550  IN   24508  13056 puplet
   2268      1    501   0  d0bf1550  IN   44784   9464 nm-applet
   2269   1753    501   0  d1a86550  IN    7832   2560 vmware-user
   2271      1    501   0  d1a86aa0  IN   14900   4548 pam-panel-icon
   2281      1    501   0  c8249aa0  IN    2524   1184 gam_server
   2290      1    501   0  d1410aa0  IN   46400  10848 wnck-applet
   2294      1    501   0  c82e3550  IN   75416   8488 trashapplet
   2298   2271    501   0  d199b000  IN    1808    624 pam_timestamp_c
   2300      1    501   0  c79b2000  IN    2440    884 mapping-daemon
   2315      1    501   0  c82a6550  IN   22548   7588 notification-ar
   2317      1    501   0  c82e3000  IN   47396  11312 mixer_applet2
   2319      1    501   0  d1aa0550  IN   27812  10184 clock-applet
   2422      1    501   0  c82a6aa0  IN   15900   2080 gnome-screensav
   2582      1    501   0  c79b2aa0  IN   41172  14800 gnome-terminal
   2584   2582    501   0  d0e4b550  IN    2440    716 gnome-pty-helpe
   2585   2582    501   0  c82a6000  IN    4488   1468 bash
   2921   2582    501   0  cd4c9aa0  IN    4488   1448 bash
   3020      1    501   0  d1ad2000  IN    4436   1156 firefox
   3043   3020    501   0  d0b3eaa0  IN    4436   1172 run-mozilla.sh
   3048   3043    501   0  d1ad2550  IN  118552  41552 firefox-bin
